kepid,tce_plnt_num,tce_period,tce_time0bk,tce_duration,tce_depth,tce_prad,tce_model_snr,tce_max_mult_ev,tce_num_transits,tce_impact,tce_steff,tce_sradius,av_training_set,av_pred_class
1161345,1,4.28758,133.434,1.113,890.7,2.616,137.9,136.9,313,0.7064,5295.00,0.812,"PC","AFP"
1162150,3,1.28453,132.236,4.175,62.76,3.996,10.3,7.246,947,0.9104,7090.00,4.311,"UNK","NTP"
1293031,1,1.07861,132.563,3.461,26.43,1.32,9.234,8.883,1250,0.5,6363.00,2.489,"UNK","NTP"
1162345,1,0.831777,131.698,2.349,24.27,0.9762,8.812,10.77,1612,0.8744,6510.00,1.728,"AFP","AFP"
1292087,1,0.547626,131.888,1.408,14.14,0.5786,5.218,8.113,2438,0.4156,6328.00,1.502,"NTP","NTP"
1573174,2,0.748347,131.886,2.897,275.1,3.445,16.21,14.05,1788,0.644,7159.00,1.96,"AFP","AFP"
1574792,1,1.39175,131.572,3.33,22.04,0.8991,8.124,9.246,964,0.5077,6793.00,1.848,"NTP","NTP"
1575690,1,1.1262,132.441,1.632,2.305e+04,10.37,663.3,1186,1005,0.5078,4298.00,0.675,"AFP","AFP"
1575873,1,0.629008,131.551,1.421,18.43,0.7839,15.74,13.12,2127,0.1038,6734.00,1.804,"AFP","AFP"
1865567,1,0.674634,131.702,2.16,4.77,0.505,10.12,19.11,1986,0.9,9990.00,2.017,"NTP","NTP"
1865567,2,1.34942,132.595,3.159,10.65,0.6806,17.03,16.64,998,0.3246,9990.00,2.017,"AFP","AFP"
1865567,3,1.34947,131.992,2.005,13.77,0.8054,20.18,13.97,990,0.7,9990.00,2.017,"AFP","AFP"
2019227,1,2.98032,132.415,8.03,23.09,0.802,8.974,8.149,453,0.8989,6404.00,1.428,"NTP","NTP"
2019297,1,3.79424,132.645,6.716,46.86,1.856,10.48,11.08,356,0.2008,6489.00,2.686,"UNK","NTP"
2019477,1,27.2481,131.912,10.76,82.34,0.7486,9.339,10.27,51,0.004853,5529.00,0.834,"PC","PC"
2167600,1,1.69146,132.463,2.232,60.83,2.135,13.29,11.72,794,0.9973,6452.00,1.512,"NTP","NTP"
2167600,2,3.38294,131.639,4.822,33.27,1.02,6.253,10.12,396,0.9,6452.00,1.512,"AFP","AFP"
2167600,3,3.38292,133.417,7.093,42.58,1.237,11.8,11.71,402,0.9584,6452.00,1.512,"AFP","AFP"
2167783,1,0.862877,132.072,1.854,220.6,2.548,11.01,10.12,1314,0.9,6991.00,1.475,"UNK","NTP"
2306740,2,10.3069,133.432,7.5,3.541e+05,37.84,-1,8372,0,0.1,5912.00,1.217,"AFP","AFP"
2306740,3,10.307,138.748,18.64,7.152e+04,55.33,1316,460.6,136,0.9992,5912.00,1.217,"AFP","AFP"
2307197,1,449.504,266.033,9.138,955.9,2.618,6.595,7.241,3,0.5014,5523.00,0.832,"UNK","NTP"
2307199,1,13.4472,132.83,2.33,1343,3.835,102.6,104.4,100,0.1,6276.00,1.041,"AFP","AFP"
2439211,2,0.499972,131.62,1.385,70.02,2.214,6.968,11.1,2666,0.7,7338.00,2.462,"AFP","AFP"
2439243,1,26.0204,154.527,4.737,1149,3.059,22.53,22.47,42,0.3372,5806.00,0.899,"PC","PC"
2439469,1,21.1653,137.638,15.21,183,1.581,8.8,9.949,68,0.1083,6425.00,1.164,"UNK","NTP"
2439660,1,0.668328,131.84,1.789,0.001231,0.01124,0.001844,10.01,2004,0.9299,8230.00,2.685,"UNK","NTP"
2554853,1,3.51468,132.251,4.885,26.23,0.9501,4.795,8.349,386,0.8842,6908.00,1.614,"AFP","AFP"
2554853,2,3.51349,133.85,7.943,32.21,1.11,8.384,9.279,388,0.9426,6908.00,1.614,"AFP","AFP"
2554867,1,2.4894,133.193,6.558,80.86,3.085,7.782,8.905,538,0.9207,8757.00,2.923,"UNK","NTP"
2554867,2,0.723891,132.122,2.489,54.92,2.257,6.405,7.851,1303,0.5038,8757.00,2.923,"AFP","AFP"
2578072,1,0.968246,132.411,6.848,28.06,0.9394,9.769,7.495,1399,0.01462,5340.00,1.816,"AFP","NTP"
2578077,1,1.87905,133.276,5.695,9.616,1.472,9.827,9.504,716,0.5005,8020.00,4.589,"AFP","AFP"
2578077,2,1.87845,132.8,4.979,10.66,1.761,11.02,8.004,714,0.9094,8020.00,4.589,"AFP","AFP"
2693092,2,39.8415,141.997,7.328,4906,31.64,544.5,554.5,35,0.9999,6070.00,2.47,"AFP","AFP"
2693097,1,1.41352,132.125,4.822,55.95,1.294,7.039,10.49,951,0.4955,7032.00,1.671,"NTP","NTP"
2693097,2,4.24047,132.84,7.312,164.1,2.293,12.4,13.69,320,0.7026,7032.00,1.671,"NTP","NTP"
2693097,3,2.82707,132.827,8.768,124,2.004,10.32,10.72,322,0.7233,7032.00,1.671,"NTP","NTP"
2714932,1,1.93658,133.363,6.319,67.94,0.8933,9.857,8.881,703,0.6929,6096.00,1.016,"AFP","AFP"
2714932,2,1.93652,132.486,6.076,69.77,0.8469,11.81,10.37,697,0.03826,6096.00,1.016,"AFP","AFP"
2714947,1,0.968245,132.456,5.362,30.11,0.5441,11.61,8.829,1397,0.004675,6170.00,0.992,"AFP","AFP"
2714954,1,0.968155,132.518,1.23,18.12,0.6397,5.537,11.15,1383,0.991,5808.00,1.036,"AFP","AFP"
2721129,1,550.335,366.943,11.28,2197,3.143,6.192,8.418,3,0.1166,4620.00,0.699,"UNK","NTP"
2721129,2,299.74,305.118,6.614,1501,2.755,4.783,8.292,4,0.5573,4620.00,0.699,"UNK","NTP"
2721835,1,1.45433,132.138,5.705,17.88,0.9061,8.096,7.858,922,0.6996,8038.00,2,"UNK","NTP"
2722074,1,1.93859,131.79,7.168,41.9,0.6293,10.72,9.991,690,0.2512,6347.00,0.962,"NTP","NTP"
2854698,1,8.18736,138.061,3.019,549.4,1.977,45.52,43.17,166,0.3583,5251.00,0.849,"PC","PC"
2854698,2,76.051,161.706,6.691,409.8,1.686,14.03,12.43,19,0.2298,5251.00,0.849,"PC","PC"
2854914,1,25.9341,149.761,4.779,421.7,2.866,36.34,34.9,51,0.8502,5952.00,1.225,"PC","PC"
2854914,2,83.4463,158.682,6.621,492,2.915,28.78,28.41,17,0.7151,5952.00,1.225,"PC","PC"
2987660,1,0.508591,131.57,1.489,21.16,2.009,2.289,10.05,2626,0.9003,7524.00,3.755,"UNK","NTP"
2987660,2,0.904939,132.327,5.193,125.1,4.245,9.165,7.369,1473,0.07454,7524.00,3.755,"NTP","NTP"
2988145,1,1.23358,132.362,4.5,214.5,2.376,-1,13.16,1095,0.1,6985.00,1.605,"AFP","AFP"
2988145,2,1.23355,131.563,4.36,147.6,2.019,12.18,12.99,1085,0.4934,6985.00,1.605,"AFP","AFP"
1575977,1,2.54043,132.81,4.918,192.5,2.772,9.774,10.7,529,0.9,7261.00,1.724,"UNK","NTP"
2992648,1,1.07736,131.895,2.367,27.17,0.844,11.39,9.574,1240,0.9,6614.00,1.387,"UNK","NTP"
2992648,2,3.23279,133.681,5.294,60.6,1.447,10.06,8.142,410,0.9837,6614.00,1.387,"AFP","AFP"
2992648,3,3.23213,132.619,6.282,27.88,0.8579,7.269,8.716,414,0.9051,6614.00,1.387,"AFP","AFP"
2855603,2,0.758263,131.955,2.344,38.8,1.124,13.81,10.06,1758,0.8992,6921.00,1.553,"AFP","AFP"
2855680,1,1.69338,132.158,5.273,26.75,0.7539,9.4,9.151,793,0.2627,6961.00,1.435,"UNK","NTP"
2855680,2,0.564462,131.546,3.532,19.52,0.6402,10.26,7.865,1589,0.04668,6961.00,1.435,"UNK","NTP"
2856756,1,0.641049,131.645,1.891,26.4,2.793,21.75,14.28,2084,0.7118,10546.00,5.04,"AFP","AFP"
2857323,2,0.548762,131.962,1.342,137.4,2.619,14.48,10.94,1592,0.7128,7956.00,2.072,"AFP","AFP"
2857607,1,41.8668,147.006,5.656,159.7,1.068,11.4,10.92,31,0.2896,5864.00,0.842,"PC","PC"
2857722,1,0.630084,132.139,1.11,86.57,1.122,10.6,9.955,1796,0.7073,6328.00,1.118,"AFP","AFP"
2857722,2,0.630087,131.709,0.8888,91.77,1.118,10.16,8.785,1796,0.5165,6328.00,1.118,"AFP","AFP"
2860114,1,0.941598,132.037,0.9807,481.3,1.843,49.56,39.58,1427,0.3418,5237.00,0.837,"AFP","AFP"
2860594,1,5.49994,132.816,10.08,4.185e+04,30.09,4074,4726,250,0.3557,6916.00,1.437,"AFP","AFP"
2860594,2,2.74997,132.819,9.121,6821,12.66,698.8,778.8,245,0.6804,6916.00,1.437,"UNK","AFP"
2860594,3,5.50026,136.528,15.24,186.3,2.098,21.43,21.12,253,0.6968,6916.00,1.437,"AFP","AFP"
2860594,4,5.50012,134.535,15,169.4,1.889,-1,25.33,249,0.1,6916.00,1.437,"AFP","AFP"
2307199,2,13.4457,133.221,21.53,111,1.12,15.64,13.68,103,0.4145,6276.00,1.041,"AFP","AFP"
2860851,1,1.19676,132.024,1.656,68.27,5.82,16.95,12.58,1118,0.9938,10752.00,4.924,"AFP","AFP"
2860851,2,1.19686,132.548,1.8,73.1,5.452,20.39,15.08,1115,0.9901,10752.00,4.924,"AFP","AFP"
2439798,1,459.313,260.216,2.587,256.9,2.647,6.684,7.731,3,0.6951,6253.00,1.545,"NTP","NTP"
2969628,2,1.97363,131.957,1.905,25.29,1.713,14.1,12.11,680,0.5113,8241.00,3.277,"AFP","AFP"
2969628,3,1.97363,132.653,1.789,19.51,1.476,10.77,9.586,673,0.2785,8241.00,3.277,"AFP","AFP"
2969638,1,1.97361,131.935,3.286,143.3,2.097,16.74,15.46,682,0.985,5870.00,1.248,"AFP","AFP"
2554867,3,0.72386,131.837,2.967,106.4,3.175,12.71,10.23,1324,0.5926,8757.00,2.923,"AFP","AFP"
2970670,1,0.947537,131.889,1.058,51.96,0.7051,11.08,10.6,1410,0.9023,5627.00,0.817,"UNK","PC"
2970804,1,0.686988,131.667,1.301,330.1,2.17,19.98,17.97,1948,0.9001,5780.00,1,"AFP","AFP"
2970804,2,2.02126,133.039,6.833,223.3,1.494,10.59,8.756,667,0.3,5780.00,1,"UNK","NTP"
2971415,2,7.35389,136.198,15.45,51.14,1.213,10.78,10.6,183,0.6932,6370.00,1.588,"AFP","AFP"
2971415,3,3.67731,134.194,10.85,35.41,1.114,10.78,9.407,357,0.9098,6370.00,1.588,"UNK","NTP"
2972005,1,2.79666,131.88,1.957,175.5,5.928,9.395,8.774,475,0.6653,7174.00,4.2,"UNK","NTP"
2972005,2,4.19539,134.393,14.39,30.01,2.668,3.044,7.87,328,0.9,7174.00,4.2,"UNK","NTP"
2693450,1,0.847716,131.731,3.172,22.2,0.9016,11.41,9.371,1583,0.3776,7262.00,1.863,"AFP","AFP"
2974815,1,0.731707,131.968,1.064,203.1,4.048,9.05,9.138,1826,0.7088,7841.00,2.63,"UNK","NTP"
2974858,1,0.996298,131.835,3.803,74.76,1.46,5.056,7.374,183,0.02521,7032.00,1.671,"NTP","NTP"
2975770,1,71.5254,191.691,5.972,6092,6.237,114.5,123.8,8,0.3516,4850.00,0.815,"PC","PC"
2714955,1,0.982769,132.08,5.315,73.82,0.9166,10.15,8.648,1193,0.00237,6225.00,1.066,"NTP","NTP"
2984505,1,3.04949,132.692,5.135,40.27,1.099,9.209,8.082,447,0.9076,6382.00,1.472,"UNK","NTP"
2985022,1,0.58119,131.52,1.925,206.4,3.458,13.94,13.67,2308,0.2391,7202.00,2.368,"UNK","NTP"
2985398,1,0.582576,131.682,1.251,336,1.826,9.253,9.415,2290,0.1,5780.00,1,"AFP","AFP"
2985398,2,0.581897,132.026,0.6458,240,1.574,2.718,7.895,1720,0.02164,5780.00,1,"AFP","AFP"
2985587,1,3.37572,134.213,1.293,160.5,1.814,20.41,18.68,395,0.8918,6303.00,1.224,"PC","PC"
2985767,1,14.0797,139.958,1.44,164.5,1.304,26.93,23.15,94,0.8503,5568.00,0.883,"PC","PC"
2988145,3,1.78835,133.328,4.379,490,4.591,14.61,11.76,256,0.9736,6985.00,1.605,"UNK","NTP"
2988768,1,459.312,260.216,3.797,1106,6.884,8.052,7.609,3,0.9848,6243.00,1.303,"NTP","NTP"
2988783,1,0.766194,131.777,1.918,65.75,1.601,13.24,10.47,1748,0.5,7384.00,1.898,"UNK","NTP"
2989404,1,3.55382,134.644,3.036,185.8,1.509,62.55,56.33,377,0.4769,6015.00,1.081,"PC","PC"
1293379,1,27.5557,132.201,9.514,308.7,1.447,7.172,7.22,43,0.1744,5509.00,0.836,"UNK","PC"
1294670,1,0.593624,131.759,1.855,67.05,1.86,11.28,13.71,2257,0.9042,7277.00,1.954,"AFP","AFP"
1294670,2,0.593647,132.05,2.318,97.87,1.96,13.29,11.79,2253,0.006181,7277.00,1.954,"AFP","AFP"
1294756,1,0.53025,131.971,2.75,4.373,0.6797,9.626,12.32,2528,0.7371,8615.00,3.003,"UNK","NTP"
1575977,2,1.08868,131.724,3.385,130.4,2.044,8.758,9.244,1056,0.5,7261.00,1.724,"UNK","NTP"
1575977,3,0.693727,131.803,2.5,346.7,3.257,-1,9.068,1044,0.1,7261.00,1.724,"UNK","NTP"
1576115,1,5.44317,135.635,7.416,639.7,6.929,11.66,10.85,248,0.9785,8254.00,1.996,"UNK","NTP"
1576115,2,1.81441,132.603,3.315,388.2,7.322,12.76,11.9,738,0.9989,8254.00,1.996,"AFP","AFP"
1866252,1,0.700471,132.17,1.316,15.79,0.4936,5.588,11.09,1906,0.3239,6102.00,1.225,"UNK","AFP"
1867078,1,620.929,349.558,41.67,3504,465.4,11.25,10.55,3,1,3953.00,38.67,"UNK","NTP"
1867630,1,1.38953,131.995,6.144,5.704,0.3314,4.178,7.462,966,0.7883,6347.00,1.262,"NTP","NTP"
1868918,1,0.583637,131.876,1.826,5.686,0.2999,6.518,7.946,2290,0.3142,6218.00,1.238,"UNK","NTP"
2019477,2,20.5715,149.246,14.5,69.77,0.6931,9.794,10.36,67,0.2253,5529.00,0.834,"PC","PC"
2019477,3,1.511,132.128,6.155,28.61,0.462,11.64,9.277,790,0.5777,5529.00,0.834,"UNK","NTP"
2019477,4,3.02213,134.327,9.04,23.67,0.4069,8.83,8.295,402,0.3391,5529.00,0.834,"NTP","NTP"
2020444,1,0.506371,132.001,1.736,61.34,2.485,10.2,10.41,2638,0.07712,7061.00,3.142,"UNK","NTP"
2167783,2,0.516584,131.698,1.681,191.6,2.087,10.07,9.162,1730,0.3185,6991.00,1.475,"UNK","NTP"
2167890,1,2.64829,133.038,2.649,1.268e+04,170.8,366.2,518.1,111,0.9,5039.00,11.83,"AFP","AFP"
2167890,2,2.64828,131.718,1.916,730.8,34.2,35.63,33.9,111,0.7,5039.00,11.83,"AFP","AFP"
2168333,1,0.596465,131.901,2,73.1,2.889,11.94,10.74,2241,0.7,8363.00,3.149,"UNK","NTP"
2307206,1,204.029,253.54,10.5,4.719e+05,44.14,-1,3081,0,0.1,5551.00,0.809,"AFP","AFP"
2307206,2,204.033,152.963,11.69,2.352e+05,55.33,1156,1608,7,0.8299,5551.00,0.809,"AFP","AFP"
2307415,1,4.61264,132.782,3.075,128.4,1.527,30.82,30.13,293,0.6484,6140.00,1.277,"PC","PC"
2307415,2,13.1216,133.394,3.504,199.2,1.801,29.08,27.91,98,0.1,6140.00,1.277,"PC","PC"
2440757,1,2.86751,131.696,0.9959,989.1,3.354,38.98,33.04,237,0.515,6235.00,1.023,"AFP","AFP"
2440757,2,2.8675,133.132,0.7864,500.2,2.742,16.37,10.86,243,0.9082,6235.00,1.023,"AFP","AFP"
2441151,1,2.19199,132.22,2.273,883.5,2.418,82.14,118.8,608,0.9403,5386.00,0.649,"AFP","AFP"
2441161,1,2.19202,132.212,3.017,1.158e+05,30.68,1060,1552,285,0.8086,5319.00,0.698,"AFP","AFP"
2556639,1,2.48127,132.978,6.555,123.8,2.475,14.85,12.8,545,0.9487,7257.00,1.829,"UNK","NTP"
2556650,1,2.85236,132.043,0.8872,1447,1.442,37.43,27.91,470,0.9,3663.00,0.319,"PC","PC"
2557335,1,0.52007,131.85,1.366,125.7,1.145,13.37,10.17,2505,0.953,5569.00,0.802,"UNK","NTP"
2557335,2,0.583008,131.986,1.5,1486,3.079,-1,8.405,0,0.1,5569.00,0.802,"UNK","NTP"
2578404,1,0.872278,132.028,4.317,228.8,6.184,27.48,22.24,1535,0.6009,7538.00,3.908,"AFP","AFP"
2578404,2,0.872247,132.266,3.171,322.6,8.248,17.28,17.15,730,0.9,7538.00,3.908,"AFP","AFP"
2578404,3,0.595526,131.927,1.5,440.1,8.246,-1,8.029,600,0.1,7538.00,3.908,"UNK","NTP"
2578811,1,6.20972,135.254,2.768,42.23,0.3444,10.98,11.4,220,0.7667,3685.00,0.485,"NTP","AFP"
2578891,1,2.32728,132.235,3.182,48.11,1.118,12.77,12.82,576,0.3592,6767.00,1.579,"NTP","NTP"
2693450,2,0.847666,132.188,2.875,14.04,0.7983,9.44,9.753,1579,0.8811,7262.00,1.863,"AFP","AFP"
2693736,1,12.124,134.956,3.307,758.7,2.153,36.7,35.09,114,0.2137,5280.00,0.796,"PC","PC"
2694337,1,0.812927,131.928,2.177,8.625,0.8077,2.282,20.2,1643,0.9398,7526.00,2.293,"AFP","AFP"
2694337,2,0.812865,132.269,6.151,7.499,0.6381,1.623,20.76,1658,0.152,7526.00,2.293,"AFP","AFP"
2715053,1,0.968256,131.505,4.51,42.67,0.6789,10.02,9.117,1395,0.06743,6363.00,1.035,"AFP","NTP"
2715113,1,0.968253,132.441,5.039,103.5,0.776,11.14,8.664,1181,0.002539,5811.00,0.765,"AFP","AFP"
2715119,1,0.968286,132.454,3.561,50.8,0.6628,10.5,9.573,1390,0.3298,5881.00,0.924,"AFP","AFP"
2715135,1,5.74772,133.298,1.884,811.4,1.798,51.9,47.05,231,0.4735,4248.00,0.63,"PC","PC"
2830919,1,1.54039,132.005,1.876,94.73,1.036,12.82,12.63,864,0.7169,5974.00,0.989,"AFP","AFP"
2831048,1,497.66,186.989,25.77,599.7,2.486,9.841,8.444,3,0.4792,6081.00,0.991,"UNK","NTP"
2831055,1,2.20925,131.901,2.607,58.45,0.8717,14.12,12.31,601,0.6008,5991.00,1.092,"PC","PC"
2831097,1,0.931998,132.344,1.371,434.5,5.887,7.014,9.939,1393,0.0771,7943.00,2.793,"UNK","NTP"
2854927,1,6.5938,134.682,12.71,88.84,1.095,7.649,7.456,173,0.8982,6202.00,0.992,"UNK","NTP"
2854948,1,0.974299,132.386,0.9358,1202,2.972,35.04,221.3,1170,0.6748,5695.00,0.799,"NTP","NTP"
2854953,1,0.862334,131.847,2.431,7.956,0.5505,3.985,12.15,1554,0.8546,7392.00,1.726,"UNK","NTP"
2854953,2,1.7248,133.144,3.716,28.74,1.077,10.43,12.44,776,0.9017,7392.00,1.726,"NTP","NTP"
1295289,1,459.319,260.207,3.95,1836,3.967,4.948,7.236,3,0.8679,5068.00,0.785,"NTP","NTP"
1295546,1,1.96443,133.301,3.723,20.98,1.485,4.468,7.333,689,0.9195,5322.00,2.639,"AFP","AFP"
1295546,2,1.96449,132.233,11.41,11.89,0.9069,5.4,10.76,687,0.3623,5322.00,2.639,"AFP","AFP"
1296164,1,1.96786,132.225,0.5097,0.04821,0.05224,0.003663,11.45,677,0.9904,6972.00,1.699,"AFP","AFP"
1576115,3,1.81438,133.205,3.492,419.7,7.049,16.42,15.57,739,0.9949,8254.00,1.996,"AFP","AFP"
1576115,4,1.8143,132.012,6,104.7,2.064,-1,13.29,496,0.1,8254.00,1.996,"AFP","AFP"
1576141,1,2.6868,133.608,8.951,19.08,0.3517,4.479,7.272,430,0.01781,5292.00,0.823,"UNK","AFP"
1576144,1,2.68671,132.152,1.867,45.21,1.813,22.12,20.16,502,0.7001,9181.00,2.507,"AFP","AFP"
1869607,1,12.0604,135.979,19.8,255,8.555,17.37,13.8,113,0.9935,6031.00,3.102,"AFP","AFP"
1869607,2,12.0587,133.893,17.35,84.41,2.839,9.696,8.696,114,0.0007964,6031.00,3.102,"AFP","AFP"
1870398,1,43.1593,132.029,21.26,197.5,1.513,12.38,7.962,34,0.5715,6204.00,1.035,"PC","PC"
1870849,1,0.53452,131.976,1.501,90.07,1.828,17.74,15.69,2501,0.2761,6835.00,1.892,"AFP","AFP"
2021099,1,1.47235,132.347,3.49,30.92,0.7457,8.836,9.114,906,0.08076,6140.00,1.341,"UNK","NTP"
2021100,1,0.866395,131.546,2.442,31.69,0.7115,7.976,7.485,747,0.6281,6444.00,1.2,"UNK","NTP"
2021100,2,1.73132,132.207,2.986,54.49,0.8947,8.88,7.931,352,0.2615,6444.00,1.2,"UNK","NTP"
2021440,1,7.81154,136.327,5.339,829.5,3.912,33.66,31.16,173,0.9957,5135.00,0.709,"AFP","AFP"
2168333,2,0.629072,131.733,1.164,132.9,4.793,18.79,11.49,1372,0.9845,8363.00,3.149,"NTP","NTP"
2168333,3,1.22463,131.677,3.279,41.1,2.065,3.195,8.361,728,0.3355,8363.00,3.149,"UNK","NTP"
2168420,1,0.952009,131.817,1.749,149.3,3.739,15.47,12.5,1406,0.9856,8026.00,2.282,"UNK","NTP"
2168420,2,1.44681,132.845,3.86,163.4,3.573,16.95,10.41,852,0.9516,8026.00,2.282,"UNK","NTP"
2307533,1,3.76213,134.266,4.358,31.5,0.9378,8.929,7.215,356,0.2784,7066.00,1.641,"AFP","AFP"
2307533,2,1.25412,132.013,3.993,9.357,0.5867,4.884,10.01,1064,0.9092,7066.00,1.641,"UNK","NTP"
2307533,3,3.76232,135.231,7.347,25.67,0.9578,9.967,9.737,358,0.8899,7066.00,1.641,"AFP","AFP"
2308603,1,459.313,260.213,6.118,1620,12.13,7.379,9.93,3,0.9999,5249.00,1.523,"NTP","NTP"
2441470,1,681.014,228.77,8.337,748.5,3.254,6.358,9.801,3,0.6786,6328.00,1.118,"UNK","NTP"
2441495,1,12.4934,138.462,2.238,704.5,2.106,72.01,65.22,107,0.3177,5211.00,0.802,"PC","PC"
2441728,1,0.85688,131.969,1.277,90.44,0.9809,38.69,34.58,1559,0.9011,6021.00,0.873,"AFP","AFP"
2557350,1,3.09874,134.389,1.838,253.6,0.6499,9.901,8.239,435,0.1,3627.00,0.41,"UNK","PC"
2557430,1,0.648868,131.845,1.94,2.458e+04,25.68,2338,4594,2062,0.69,6531.00,1.524,"UNK","AFP"
2557555,1,0.633901,132.071,1.38,37.35,2.066,3.623,12.43,2114,0.7547,5421.00,3.099,"UNK","NTP"
2557816,1,9.37889,138.938,3.328,551,1.946,39.53,37.69,140,0.4955,5684.00,0.808,"PC","PC"
2578901,1,2.32694,132.72,1.916,82.19,0.9635,6.788,7.303,488,0.7158,5962.00,0.988,"AFP","AFP"
2578901,2,2.32852,131.776,7.23,64.36,0.8568,8.769,7.934,493,0.7382,5962.00,0.988,"AFP","AFP"
2578901,3,1.16303,132.514,4.214,63.94,0.8903,9.472,8.298,692,0.8347,5962.00,0.988,"UNK","NTP"
2695030,1,0.678443,131.959,2.102,94.85,1.994,9.163,14.51,1971,0.9136,7318.00,1.748,"AFP","AFP"
2695030,2,0.678468,131.607,2.496,168.7,2.551,14.52,13.65,1973,0.847,7318.00,1.748,"AFP","AFP"
2695110,1,44.1894,165.801,6.733,4393,11.32,102.3,135,32,0.9947,6061.00,0.968,"AFP","AFP"
2696703,1,6.09405,133.66,1.81,2758,16.35,238.7,136.7,222,1,6790.00,1.676,"PC","AFP"
2715135,2,0.968314,132.349,6.073,47.37,0.4153,10.47,7.771,1396,0.06125,4248.00,0.63,"AFP","NTP"
2715228,1,0.968208,132.463,3.071,49.54,0.9332,9.393,8.757,1388,0.8848,6362.00,1.144,"AFP","AFP"
2715245,1,1.93654,133.401,5.276,81.92,0.787,6.936,8.008,703,0.6513,5771.00,0.825,"AFP","AFP"
2831251,1,5.8131,131.531,3.662,94.97,1.02,10.18,8.926,232,0.2141,6175.00,1.041,"AFP","AFP"
2832589,1,10.8497,136.744,3.842,1227,3.277,36,35.02,124,0.8933,5252.00,0.779,"PC","PC"
2832753,1,3.5511,134.926,5.849,45.02,1.169,10.72,10.96,372,0.1117,6806.00,1.726,"AFP","AFP"
2832753,2,3.55131,132.289,4.369,45.78,1.359,11.48,10.85,384,0.9,6806.00,1.726,"AFP","AFP"
2856756,2,0.640994,131.862,1.991,15.48,2.039,10.54,10.7,2076,0.03853,10546.00,5.04,"AFP","AFP"
2856756,3,0.641043,132.078,1.448,14.44,2.195,10.45,7.497,2086,0.9,10546.00,5.04,"AFP","AFP"
2856960,1,204.304,164.603,32.33,2.784e+04,13.73,141.6,210.8,7,0.7959,4907.00,0.727,"UNK","AFP"
2857323,1,0.548548,131.906,1.789,10.11,0.6687,1.658,12.09,2439,0.05975,7956.00,2.072,"AFP","AFP"
1296164,2,1.96089,132.352,2.722,47.83,1.625,10.49,11.06,655,0.9907,6972.00,1.699,"AFP","AFP"
1296164,3,1.96131,133.129,5.339,27.66,1.057,7.585,8.772,685,0.9217,6972.00,1.699,"AFP","AFP"
1296721,1,2.60902,133.515,6.68,29.66,0.5227,3.753,7.515,519,0.213,5966.00,0.961,"UNK","NTP"
1429120,1,0.760632,132.258,1.479,33.63,0.9457,8.528,10.07,1750,0.6953,7100.00,1.52,"AFP","AFP"
